Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP
ch3_intro,Hmm ckckck,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_welcome,Sampah ini… sudah menumpuk lagi.,ch3_welcome_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_shock_0,Hah....,ch3_shock_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_shock_1,Tidak mungkin!,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_janitor,Lo ngapain anjirrr,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,Janitor,,
ch3_tired_0,Dahlah cape bgt wkwk,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_wondering,!!!,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_disturbed_by_basketball,Aku tidak bisa fokus kalau berisik ,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_basket1,Bola basket? ,ch3_basket_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Dhea,,
ch3_basket_2,Jam segini?,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_sepi,Sepi sekali. Tidak seperti biasanya... ,ch3_sepi2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_sepi2,mungkin semua orang sedang sibuk bahagia,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_basket2,Itu... bola lagi?,ch3_basket2_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_basket2_2,Tapi tidak ada siapa pun di sini,ch3_basket2_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_basket2_3,Apa aku mulai berhalusinasi?,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_welcome_2,"Aku bahkan tidak sempat membereskan hidupku sendiri, apalagi ruangan ini",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_deadline,Selesai satu kekacauan... sekarang kembali ke kekacauan yang lain,ch3_deadline_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_deadline_2,"Deadline makin dekat, dan aku masih terjebak di awal",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_disturbed,"Belum juga sempat duduk, sudah disambut suara bola lagi.",ch3_disturbed2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_disturbed2,Apa dunia sedang hobi menguji kewarasanku malam ini?,ch3_disturbed3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,,
ch3_disturbed3,"Kalau ini caranya, aku akan cari tahu—dan semoga saja bukan hal bodoh lagi.",ch3_disturbed3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
ch3_frommike,Suaranya dari kamar 208...? Itu kan kamarnya Mikey,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,,
,,,,,,,
